state,county,candidate,party,votes
Idaho,Benewah County,Paulette Jordan,DEM,1081
Idaho,Benewah County,Ray Writz,CST,105
Idaho,Benewah County,Natalie Fleming,IND,103
Idaho,Bingham County,Jim Risch,REP,14644
Idaho,Bingham County,Paulette Jordan,DEM,4313
Idaho,Bingham County,Natalie Fleming,IND,625
Idaho,Bingham County,Ray Writz,CST,253
Idaho,Blaine County,Paulette Jordan,DEM,8739
Idaho,Blaine County,Jim Risch,REP,4225
Idaho,Blaine County,Natalie Fleming,IND,288
Idaho,Blaine County,Ray Writz,CST,54
Idaho,Boise County,Jim Risch,REP,3333
Idaho,Boise County,Paulette Jordan,DEM,1257
Idaho,Boise County,Natalie Fleming,IND,128
Idaho,Boise County,Ray Writz,CST,93
Idaho,Bonner County,Jim Risch,REP,17964
Idaho,Bonner County,Paulette Jordan,DEM,8079
Idaho,Bonner County,Natalie Fleming,IND,601
Idaho,Bonner County,Ray Writz,CST,377
Idaho,Bonneville County,Jim Risch,REP,36490
Idaho,Bonneville County,Paulette Jordan,DEM,13913
Idaho,Bonneville County,Natalie Fleming,IND,1972
Idaho,Bonneville County,Ray Writz,CST,653
